ID,V1,V2,V3,V4
259,10.4725,-3.2013,2.3729,-3.0087
260,-0.3912,0.42972,-2.5899,0.93452
261,-6.8391,-0.44829,2.3678,8.4207
262,2.3133,-1.4905,-1.3946,-0.44499
263,-6.7563,-0.55044,-1.8356,5.0585
264,0.32684,1.1797,5.2012,0.17965
265,-4.8795,-2.1086,1.4479,8.3428
266,5.856,-0.32544,0.94225,1.8762
267,7.6438,-0.87371,0.24835,0.9885
268,1.7733,-0.39915,-2.7914,6.7756
269,11.9603,-5.4435,-2.3361,3.0835
270,-5.6575,0.65214,-2.5754,6.103
271,2.7955,-2.3491,-1.7063,-2.378
272,9.2682,-1.356,2.5605,-3.5913
273,9.591,-3.3487,3.7352,-3.9032
274,1.9036,-2.5095,-3.7244,-0.035421
275,-6.448,-0.20777,-2.1786,6.0344
276,8.724,-4.5965,-0.7056,2.2215
277,-10.7666,-1.0043,-1.7713,10.2184
278,2.9672,1.4551,6.0919,-1.3267
279,-12.9724,-2.684,-3.73,12.9817
280,-8.0972,0.65084,-3.8073,10.1772
281,10.2925,-4.0392,1.162,-1.2821
282,11.1078,-4.2539,4.3483,-4.0857
283,3.3252,-3.5737,-3.6085,-0.51954
284,-3.7724,0.019813,3.9479,2.883
285,1.3925,0.41421,2.4673,1.7125
286,0.81519,1.0245,3.8027,2.1041
287,-0.64572,0.89136,-0.26654,-0.42014
288,-5.4485,0.88231,-2.286,5.8039
289,10.3753,-4.1633,0.54777,-1.5435
290,8.6805,-3.703,-6.2003,0.0091344
291,10.0276,-4.0819,3.884,-3.9298
292,6.9941,-0.12889,3.7022,-1.8511
293,3.8943,-4.3418,0.53936,-4.8166
294,3.2135,0.78662,1.3562,4.3465
295,-3.3585,1.0905,4.8906,3.4202
296,-1.3679,0.52283,-1.6641,1.997
297,1.6222,0.71679,2.4012,3.0312
298,10.2614,-4.3056,4.1757,-3.8552
299,-6.2286,-1.1543,-3.5916,10.2389
300,7.6397,-1.2384,4.6562,-2.4243
301,5.6863,-0.23751,3.6582,-1.7157
302,-0.24842,0.41938,-0.52645,-0.45613
303,7.052,-3.1508,0.051979,-2.0541
304,-12.8793,-3.3125,-3.9411,13.0597
305,3.9543,-4.4853,0.60731,-4.772
306,2.6651,-0.7819,-3.9172,0.78886
307,2.4913,-0.62156,0.066129,-2.9401
308,10.6877,-4.109,3.4642,-3.4071
309,2.4975,0.96894,4.4549,1.0313
310,5.6945,-0.026738,1.518,0.094818
311,1.0366,1.0013,3.9719,0.75973
312,-12.5668,-0.75216,-3.506,15.1606
313,3.5673,-3.8116,0.48797,-4.3882
314,1.5994,1.6401,4.8851,-0.00029081
315,-0.14289,0.35084,0.39012,-0.031994
316,3.2569,1.1668,5.2868,-1.3721
317,7.2093,-1.4944,4.5707,-3.2794
318,6.6257,-2.2134,2.0843,0.48382
319,9.2206,-6.8103,-0.2062,-3.7044
320,3.5487,-0.36424,1.6406,1.3964
321,3.2673,-3.0888,-0.27068,-3.5562
322,10.0214,-4.9159,3.8417,-4.2699
323,3.11,-3.0358,-2.5463,-0.83228
324,-8.2731,1.1629,-2.9498,10.2646
325,2.8927,-3.0603,-0.36506,-3.6461
326,9.082,-0.96811,2.7206,-3.3111
327,9.6013,-6.9642,-6.5235,-0.25392
328,4.1985,-3.9642,-2.9821,-0.5898
329,10.0525,-3.7366,3.7831,-3.8869
330,10.8512,-3.9784,2.8232,-3.1466
331,2.9093,0.11033,1.6988,2.9044
332,-6.4625,-1.5216,-0.16108,8.3573
333,-6.8825,0.057313,-1.8219,5.4681
334,0.45927,1.6181,4.0047,1.3621
335,-0.43673,-0.43018,-2.3675,1.692
336,-2.1915,1.1409,4.0215,2.4648
337,0.90417,1.6892,3.9994,1.1693
338,0.18406,1.5806,-1.366,0.90539
339,-5.1423,-1.2487,2.2517,4.2916
340,-5.7134,0.45946,-2.7908,5.953
341,3.0293,-0.068117,0.75736,2.9164
342,-0.045633,0.23447,0.66365,-0.18794
343,-6.6301,-0.42113,-2.8391,10.4849
344,0.25234,1.7758,-1.3066,0.7623
345,0.40133,0.65343,4.0552,1.4563
346,10.0856,-3.8142,5.6272,-4.2931
347,5.3904,-0.061652,5.8519,-2.4037
348,-4.4222,-1.7349,1.3419,8.09
349,8.993,-4.572,-6.9599,0.2182
350,0.42202,-0.064238,-3.1366,2.6225
351,3.0128,0.56421,3.5912,0.72888
352,8.0432,-4.4983,-5.1661,0.044265
353,2.5761,-0.18967,1.2999,2.0107
354,-5.4237,-1.2526,3.757,3.8255
355,-3.3896,1.4771,4.6765,3.4896
356,9.293,-2.1978,0.87256,-0.7843
357,5.8332,-4.9379,-3.9934,0.54723
358,-0.85679,0.044382,-2.2811,2.7185
359,3.2859,0.087054,1.6349,2.8753
360,-6.8411,-1.0172,-3.1128,10.7402
361,-4.4118,-0.81682,3.0672,3.8238
362,-6.6611,0.5461,-0.9854,5.8245
363,7.1224,-6.4172,-4.1479,-0.083404
364,7.5279,-2.6478,2.5328,-0.41929
365,7.1017,-0.41337,0.64295,0.3493
366,-8.2131,0.96765,-3.5681,10.083
367,0.29166,0.83834,0.75896,-1.6506
368,2.0981,0.12843,1.2198,-3.1954
369,3.1286,0.64696,0.64215,4.2933
370,4.573,-0.18967,0.33111,2.057
371,-10.1499,-1.2332,-1.5449,9.6152
372,9.531,-6.8517,-6.4247,0.022844
373,-8.2917,0.38059,-3.7573,10.3032
374,6.125,0.47886,1.602,0.52924
375,4.8503,-6.1043,0.6818,-5.2133
376,-2.5929,0.303,3.0333,2.3183
377,3.9605,0.40774,5.1731,-1.983
378,-4.4553,0.0042961,4.5691,3.1769
379,10.0131,-4.3276,4.8368,-4.3239
380,7.1306,0.21248,3.5982,-1.3035
381,10.1683,-4.6056,3.9663,-4.1131
382,-0.77402,0.00171,-2.5346,3.3602
383,-3.2675,0.21766,4.1927,2.5839
384,2.8907,0.79825,3.1557,0.59693
385,0.9021,0.42714,1.0117,-2.3506
386,-2.0777,0.60688,-1.3414,2.8093
387,7.6045,-1.8461,2.1059,-0.47755
388,4.095,-2.1112,2.2279,-4.8037
389,-6.3445,0.16981,-1.6244,4.6575
390,8.2315,-1.5694,5.1776,-3.2511
391,11.532,-3.2737,-2.2527,2.5899
392,3.8963,0.86291,5.0452,-1.4304
393,0.70965,-0.44441,0.37984,0.75716
394,-1.7673,-0.12372,-0.69745,-0.34474
395,-13.6594,-2.4927,-3.5985,17.6052
396,8.0349,-2.1888,1.2706,-0.19651
397,3.5839,0.39481,4.0632,0.72545
398,-13.289,-3.2194,-4.4861,17.3087
399,-3.3316,0.8267,3.0632,5.1305
400,0.7097,-0.4444,0.3798,0.7572
401,-3.7455,-0.71208,3.6181,2.8273
402,-3.2634,-0.9849,0.5195,3.0895
403,-3.9173,0.36119,3.4647,3.9746
404,1.1814,-0.81165,-2.1234,-0.55552
405,-12.1737,-0.61639,-3.4917,14.3689
406,2.752,-2.353,-1.8215,-0.72261
407,9.1565,-4.1814,0.81356,-2.1492
408,6.2636,-0.36165,3.4312,-1.9513
409,2.4954,0.36119,4.2772,0.48554
410,-1.9163,-0.11984,-1.3414,-0.15538
411,-10.452,-1.7323,-2.6685,9.1139
412,2.7748,-0.71984,-4.1429,0.68261
413,-4.3497,0.7517,-0.47465,1.9901
414,8.7095,-3.6345,-6.1632,-0.21621
415,-5.1154,-1.4297,1.9572,8.6127
416,0.13853,1.1435,5.2756,0.12138
417,-2.0114,0.066365,-0.91318,-0.19565
418,-12.751,-3.2168,-4.6338,16.7166
419,2.0299,-0.083634,2.0466,2.1761
420,-4.807,-0.49225,4.1038,3.3491
421,6.8575,0.075416,2.7744,-1.0671
422,0.23579,1.437,2.3969,4.8477
423,-7.1122,-0.083634,-3.1273,11.3897
424,10.1787,-4.4245,4.616,-4.2185
425,11.6541,-7.1025,-1.4217,-0.057699
426,4.0371,-1.8228,-3.2854,-0.45356
427,-9.3677,-0.10303,-2.0042,9.3333
428,-6.3321,0.14266,-1.749,6.0987
429,-2.7957,0.67412,4.1197,2.0707
430,10.1373,-5.4707,-2.6479,-1.331
431,9.7669,-1.7853,1.0284,-1.3687
432,9.5227,-3.5944,3.4566,-4.0112
433,3.9439,-2.1203,-3.5741,-0.07912
434,8.5481,-2.1784,1.5456,0.4187
435,2.781,0.34179,3.7635,0.66119
436,2.4954,-1.1039,-4.0679,0.79571
437,0.91244,0.39352,3.3299,1.5806
438,9.0488,-2.0789,-0.2951,-0.52725
439,9.3613,-1.2461,3.534,-3.6316
440,0.39305,-0.13794,-0.092194,-0.32846
441,0.31235,0.068951,-2.9883,0.45041
442,8.3908,-3.7405,-0.38214,2.1624
443,0.23165,2.0564,3.8213,2.0133
444,10.1621,-4.0172,3.9362,-3.8235
445,-0.445,0.27843,4.1665,0.23448
446,9.5082,-3.0086,2.3952,-3.1783
447,6.6754,-6.5775,-4.8392,-0.24278
448,3.5011,-1.7841,0.59823,-3.9795
449,-7.3192,1.2289,-1.5078,7.8981
450,-4.5939,0.57196,2.9571,5.9068
451,-3.0958,0.24481,3.5862,2.8093
452,9.3261,-6.2543,0.25035,-3.6873
453,1.7712,-0.4638,-2.8833,0.68946
454,6.185,-0.033204,3.8384,-2.0439
455,-12.989,-2.7202,-3.3863,13.0545
456,10.5387,-4.2797,5.2418,-4.1174
457,7.9852,-1.872,3.7935,-2.5477
458,8.126,-5.0142,-5.637,0.13081
459,1.5932,-1.678,-2.1668,0.045122
460,5.6573,-1.4892,2.6718,0.72974
461,-9.3264,-0.85949,-2.258,9.3727
462,-5.1278,1.4797,-0.63298,4.5624
463,-12.9372,-1.6806,-4.4018,15.6559
464,-3.2468,0.83705,3.9232,3.4579
465,-4.4615,-0.15087,3.2585,3.8024
466,3.5984,-0.43406,1.1472,1.9387
467,10.1456,-3.6991,5.4188,-4.084
468,1.4173,-1.1246,-0.56877,-1.4252
469,1.7981,0.2099,2.0177,-2.9581
470,-4.9933,-0.53104,-4.8426,10.4052
471,-0.3105,0.44653,0.55939,0.18307
472,3.5363,0.41938,2.3066,0.57551
473,3.5073,-3.8491,-1.8974,-1.7842
474,-4.416,-0.13924,-2.6406,5.983
475,2.6962,0.54739,0.86202,4.2908
476,9.7007,-3.4379,3.4805,-3.7541
477,1.2539,-1.0728,-1.8448,0.27218
478,3.9833,1.0103,5.262,-1.5572
479,-12.0206,-2.7552,-2.8957,11.9149
480,2.2947,0.18404,1.5902,3.2403
481,-9.1567,-0.73018,-3,9.5766
482,-7.2136,-0.94613,-3.2305,11.6433
483,0.27717,0.33662,4.9294,0.20792
484,6.4416,-0.69139,2.4391,-0.80743
485,-12.8048,-1.281,-3.8483,15.6824
486,3.4514,-0.94742,-4.577,0.66719
487,11.6541,-5.2107,-1.9922,2.6542
488,3.5715,-1.4957,-4.9462,0.82742
489,0.45513,0.21766,-2.7338,2.4391
490,-9.6699,-0.34872,-1.3968,9.4652
491,6.8223,-0.46898,3.5152,-0.67377
492,-4.3415,-0.29829,3.2697,3.6884
493,5.9946,0.84998,2.2034,0.53009
494,8.1653,-2.2586,1.9358,-0.023425
495,-8.3041,-1.5099,-4.0218,12.555
496,-2.1253,-0.19225,-1.4094,-0.10397
497,11.921,-3.3241,-1.7599,2.6756
498,9.4006,-1.0509,2.8261,-3.3034
499,-6.7584,0.62369,-0.72068,5.8408
500,11.9458,-4.8978,-1.7559,3.0946
501,0.66206,-0.28406,2.7659,4.1494
502,7.6624,-3.1108,1.8993,0.15394
503,4.8027,0.62627,1.7452,2.0878
504,-4.0021,0.6017,-0.60975,1.8471
505,-0.98922,0.39481,-1.4233,2.3586
506,-2.4212,1.6168,4.5597,2.6413
507,3.3294,0.64955,4.3435,0.83598
508,2.4003,0.73231,3.577,1.8908
509,3.9957,-3.9047,-3.6227,-0.35845
510,8.7902,-0.65259,1.4507,-2.2324
511,2.8658,-2.4319,-0.55008,-1.6488
512,0.45927,-0.45734,-3.5798,2.3457
513,-0.19048,0.003003,-1.0116,-0.90597
514,6.3319,-0.020273,3.5189,-1.7791
515,-4.4698,-1.8073,1.7257,8.2219
516,1.0925,-0.59958,-1.6176,-0.35502
517,-13.0635,-2.8017,-4.244,17.1116
518,0.039207,-0.23105,-0.83121,0.05369
519,3.4825,-1.3961,0.84546,-3.6307
520,10.816,-4.2888,2.6917,-3.3
521,9.0861,-1.4996,0.77124,-1.2281
522,-6.2535,0.59912,-1.5252,5.3524
523,8.9847,-2.4332,0.12326,-0.9351
524,1.9367,-0.80518,-0.24745,-2.4697
525,1.9036,1.022,-1.1313,7.5339
526,-4.8091,-2.0659,1.742,8.2142
527,-7.2447,-0.1276,-1.5681,6.5537
528,1.0656,0.94955,-1.6952,8.8294
529,-6.4749,-0.41855,1.8216,8.0514
530,-12.7407,-0.14182,-3.2692,15.5573
531,1.5705,-1.122,-1.9389,0.045979
532,1.8457,-1.3806,-1.1306,-1.3575
533,-0.31257,0.41291,-1.0833,1.2815
534,0.22337,0.97024,0.12126,-0.47327
535,-0.24428,0.41809,-2.4198,0.70146
536,-0.99543,-0.15475,2.486,5.3404
537,-6.4625,0.31981,-1.7589,8.4773
538,2.4747,-1.0276,-0.64326,-2.9452
539,-12.8007,-0.95647,-4.0214,15.6199
540,-6.388,0.79955,-1.0292,5.5255
541,4.0743,-2.6129,1.208,-4.7635
542,-9.6036,-0.97716,-1.8554,7.7764
543,-3.462,1.1008,0.55298,1.7048
544,10.8408,-4.0974,-1.5222,2.7827
545,8.7488,-1.3858,1.6849,-1.2641
546,6.4002,0.6961,1.1558,1.5506
547,0.6393,-0.58277,1.0987,5.989
548,7.2072,-0.94742,3.7731,-1.6814
549,-9.0367,-0.12243,-1.8187,9.0162
550,7.2589,-7.3004,-5.2049,0.070827
551,2.5761,0.5655,3.7791,1.3098
552,1.2394,2.1547,3.5438,1.997
553,5.5787,-0.056479,5.7823,-2.4089
554,7.7762,-1.9353,0.89566,-2.7473
555,6.7768,0.38576,2.5635,-0.61979
556,7.1906,-2.4565,0.96788,1.2798
557,-1.7052,0.32757,-2.564,1.5026
558,7.2569,-0.86078,4.1454,-1.9153
559,11.0333,-4.8888,-1.8348,3.1863
560,1.8643,0.47369,2.0007,2.6491
561,-5.9741,-0.82846,-3.6053,10.0916
562,9.9635,-2.9944,2.2526,-3.1749
563,-0.68297,1.1965,-0.21394,0.096532
564,-1.0886,0.48791,0.14329,1.0039
565,-4.836,-0.060358,-2.3518,6.6479
566,5.6159,-0.12501,0.96414,2.2138
567,-2.6281,-0.08622,2.3164,3.1529
568,-0.22773,1.2069,-2.5084,1.488
569,2.7934,-0.86078,-3.2238,0.32274
570,-0.176,1.2922,1.7496,5.1827
571,2.0754,1.2379,4.7114,-0.2702
572,6.6154,-0.90863,2.483,-0.79287
573,3.8943,-4.3948,0.61652,-4.7275
574,7.8859,-1.8384,-1.8584,-1.6643
575,0.60826,-0.23751,-3.0799,2.7039
576,10.3215,-6.1185,-0.12624,-3.7121
577,9.2206,-6.8103,-0.2062,-3.7044
578,3.5756,0.2836,2.2504,0.35273
579,2.3299,0.82929,1.0191,4.9334
580,3.2963,-2.4642,-2.2677,-2.2563
581,9.382,-1.4543,2.4287,-3.2477
582,9.0551,-1.3884,0.77445,-2.4089
583,1.1587,0.12585,2.5068,3.9249
584,2.6217,-1.1595,-3.9933,0.62863
585,1.7774,-0.45346,-3.0193,0.73745
586,-3.4496,1.0879,4.1654,3.643
587,-10.4603,-2.3427,-3.0986,8.9717
588,4.0391,-2.1836,-3.8953,-0.3019
589,1.9326,-0.32415,0.6005,-3.2888
590,1.0594,0.39998,1.3518,-2.3437
591,2.3071,-1.4453,-1.0941,-2.5237
